0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0018;1-30-STSM-014-09;1-30;19.0;CPECC-CC-53067 BD;CPECC-CC-55065 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0019;1-30-STSM-014-09;1-30;4.0;CPECC-CC-53067 BD;CPECC-CC-55065 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0020;1-30-STSM-014-09;1-30;2.0;CPECC-CC-53067 BD;CPECC-CC-55065 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0022;1-30-STSM-014-10;1-30;17.0;CPECC-CC-54354 BD;CPECC-CC-60395 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0023;1-30-STSM-015-01;1-30;20.0;CPECC-CC-53129 BD;CPECC-CC-60396 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0024;1-30-STSM-015-01;1-30;29.0;CPECC-CC-53129 BD;CPECC-CC-60396 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0025;1-30-STSM-015-01;1-30;10.0;CPECC-CC-53129 BD;CPECC-CC-60396 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0026;1-30-STSM-015-01;1-30;2.0;CPECC-CC-53129 BD;CPECC-CC-60396 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0027;1-30-STSM-015-02;1-30;24.0;CPECC-CC-54662 BD;CPECC-CC-60397 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0028;1-30-STSM-015-02;1-30;35.0;CPECC-CC-54662 BD;CPECC-CC-60397 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0030;1-30-STSM-016-04;1-30;6.0;CPECC-CC-52916 BD;CPECC-CC-60288 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0031;1-30-STSM-016-04;1-30;10.0;CPECC-CC-52916 BD;CPECC-CC-60288 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0032;1-30-STSM-016-04;1-30;16.0;CPECC-CC-52916 BD;CPECC-CC-60288 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0033;1-30-STSM-016-05;1-30;22.0;CPECC-CC-54661 BD;CPECC-CC-60465 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0034;1-30-STSM-016-05;1-30;30.0;CPECC-CC-54661 BD;CPECC-CC-60465 BD;
0055-CPC-GGC-4.1.3.30.130-TM4-ID-A-0019;1-30-STSM-031-02;1-30;36.0;CPECC-CC-43249/43251 BD;CPECC-CC-46062 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0022;1-30-STSM-003-02;1-30;49.0;CPECC-CC-53178 BD;CPECC-CC-59969 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0116;1-30-STSM-003-03;1-30;5.0;CPECC-CC-53175 BD;CPECC-CC-54322 BD;
0055-CPC-GGC-4.1.3.30.134-TM4-ID-A-0001;1-30-STSM-003-03;1-30;7.0;CPECC-CC-53175 BD;CPECC-CC-54322 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0041;1-30-STSM-016-03;1-30;14.0;CPECC-CC-54997 BD;CPECC-CC-60279 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0045;1-30-STSM-015-05;1-30;18.0;CPECC-CC-54663 BD;CPECC-CC-60463 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0048;1-30-STSM-016-01;1-30;19.0;CPECC-CC-54491 BD;CPECC-CC-60464 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0049;1-30-STSM-016-01;1-30;7.0;CPECC-CC-54491 BD;CPECC-CC-60464 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0050;1-30-STSM-016-01;1-30;32.0;CPECC-CC-54491 BD;CPECC-CC-60464 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0051;1-30-STSM-016-07;1-30;44.0;CPECC-CC-54660 BD;CPECC-CC-60466 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0052;1-30-STSM-016-06;1-30;20.0;CPECC-CC-56209 BD;CPECC-CC-60286 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0053;1-30-STSM-016-06;1-30;7.0;CPECC-CC-56209 BD;CPECC-CC-60286 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0054;1-30-STSM-016-06;1-30;21.0;CPECC-CC-56209 BD;CPECC-CC-60286 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0002;1-30-STSM-002-05;1-30;5.0;CPECC-CC-61173/1 BD;CPECC-CC-61411 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0003;1-30-STSM-002-05;1-30;23.5;CPECC-CC-61173/1 BD;CPECC-CC-61411 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0006;1-30-STSM-002-06;1-30;24.5;CPECC-CC-61172/1 BD;CPECC-CC-61424/1 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0004;1-30-STSM-002-06;1-30;15.0;CPECC-CC-61172/1 BD;CPECC-CC-61424/1 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0005;1-30-STSM-002-06;1-30;5.0;CPECC-CC-61172/1 BD;CPECC-CC-61424/1 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0055;1-30-STSM-017-01;1-30;14.0;CPECC-CC-61072/2 BD;CPECC-CC-61407 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0056;1-30-STSM-017-01;1-30;3.0;CPECC-CC-61072/2 BD;CPECC-CC-61407 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0057;1-30-STSM-017-01;1-30;24.0;CPECC-CC-61072/2 BD;CPECC-CC-61407 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0058;1-30-STSM-017-02;1-30;16.0;CPECC-CC-61075/2 BD;CPECC-CC-61406 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0059;1-30-STSM-017-02;1-30;3.0;CPECC-CC-61075/2 BD;CPECC-CC-61406 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0060;1-30-STSM-017-02;1-30;21.0;CPECC-CC-61075/2 BD;CPECC-CC-61406 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0061;1-30-STSM-017-03;1-30;18.0;CPECC-CC-61076/2 BD;CPECC-CC-61419 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0062;1-30-STSM-017-03;1-30;3.0;CPECC-CC-61076/2 BD;CPECC-CC-61419 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0063;1-30-STSM-017-03;1-30;21.0;CPECC-CC-61076/2 BD;CPECC-CC-61419 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0064;1-30-STSM-017-04;1-30;20.0;CPECC-CC-61073/2 BD;CPECC-CC-61417 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0070;1-30-STSM-014-06;1-30;22.0;CPECC-CC-60922 BD;CPECC-CC-61425 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0071;1-30-STSM-014-06;1-30;3.0;CPECC-CC-60922 BD;CPECC-CC-61425 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0072;1-30-STSM-014-06;1-30;16.0;CPECC-CC-60922 BD;CPECC-CC-61425 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0065;1-30-STSM-017-04;1-30;3.0;CPECC-CC-61073/2 BD;CPECC-CC-61417 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0066;1-30-STSM-017-04;1-30;18.0;CPECC-CC-61073/2 BD;CPECC-CC-61417 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0076;1-30-STSM-018-01;1-30;24.0;CPECC-CC-57775/1 BD;CPECC-CC-60186 BD;
